path,label,track_id,split
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00000.wav,blues,blues.00000,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00003.wav,blues,blues.00003,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00004.wav,blues,blues.00004,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00005.wav,blues,blues.00005,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00006.wav,blues,blues.00006,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00010.wav,blues,blues.00010,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00012.wav,blues,blues.00012,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00015.wav,blues,blues.00015,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00016.wav,blues,blues.00016,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00017.wav,blues,blues.00017,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00022.wav,blues,blues.00022,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00024.wav,blues,blues.00024,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00025.wav,blues,blues.00025,train
C:\sem 07\sem07 frontend development\e20-co542-classical-music-classification\code\GTZN\Data\genres_original\blues\blues.00026.wav,blues,blues.00026,train
